audit_row,legacy_location_path_id,legacy_path,legacy_level,disposition,resolves_after_change,candidate_paths,candidate_ids,finding,next_action,legacy_agencies,current_agency_paths,current_agency_addresses,geographic_source,census_check,census_alias_target,census_same_name_paths,census_current_paths_match,census_geoid_counties,agencies_outside_assigned_shape,agency_point_containing_paths
1,cmpohw2l199kqqzxgfb2yqii,/ct/new-haven-county/,administrative_area,historical-administrative-area,no,,,New Haven County is an old county geography. Connecticut replaced eight county equivalents with nine planning regions; no one-to-one equivalent is established.,Keep historical county identity separate from current planning regions; do not alias the county wholesale to one region.,,,,https://www.census.gov/programs-surveys/acs/technical-documentation/user-notes/2023-01.html,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,,,
2,cvfz7cynjvu31c90r51vji6p,/ct/new-haven-county/new-haven/,place,changed-parent-candidate,no,/ct/south-central-connecticut-planning-region/new-haven/,s9qnxxb0ouon51bax2n329w6,New Haven exists under the new planning region. The old New Haven Police record is absent from current agencies. City continuity is plausible even though county continuity is not.,"Verify the city geographic identity across the hierarchy change, then add a city-path alias if equivalent.",izmed0kohy7941ipfv03zixshlfv: New Haven Police Department,,,https://www.census.gov/programs-surveys/acs/technical-documentation/user-notes/2023-01.html,Checked against saved 2025 Gazetteer and TIGER inputs,,/ct/south-central-connecticut-planning-region/new-haven/,yes,0952000: South Central Connecticut [09170],,
3,cg2n9agrzz5m1gsbevg42rqf,/mn/jackson-county/alba-township/,place,missing-place,no,,,Alba Township has no exact canonical match. Alpha is a different name and is not an established equivalent.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",,,,,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,,,
4,c8gr6bl9bb9i9rmwgo95gord,/mn/ramsey-county/saint-paul/,place,alias-added,yes,/mn/ramsey-county/st-paul/,jvtnc88ydt8zop7vtj7dcb2j,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm7a0bgot048vewvgv748afah: State of Minnesota | cm90a1b2c3d4e5f6g7h8i9j1l: Minnesota State Patrol,cm7a0bgot048vewvgv748afah: /tx/hill-county/abbott/,"cm7a0bgot048vewvgv748afah: Null, Abbott, TX, 00000-0000",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,2758000: Ramsey [27123] | 4800100: Hill [48217],cm7a0bgot048vewvgv748afah,"cm7a0bgot048vewvgv748afah: /tx/, /tx/hill-county/"
5,c1hcdbfooxml01qfrfbgbexe,/ny/new-york-county/new-york/,place,alias-already-present,yes,/ny/queens-county/new-york/,hizxmk9xaw9xeprduwpl8jln,Existing alias verified against raw Census place/county overlap: the same place spans multiple counties. The current canonical county and alias agree with the Census import policy.,Retain existing alias.,zadxj7xit0wiyyja3jqet2ajhges: New York City Police Department,,,,Checked against saved 2025 Gazetteer and TIGER inputs,/ny/queens-county/new-york/,/ny/queens-county/new-york/,yes,"3651000: Queens [36081], Richmond [36085], Kings [36047], Bronx [36005], New York [36061]",,
6,cebydviefa4lpellq0sns63h,/tx/anderson-county/tennessee-colony/,place,missing-place,no,,,Tennessee Colony is a distinct Anderson County community. Cayuga ISD Police currently resolves to Trinidad in Henderson County; that assignment does not establish equivalence.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxay0014vrvgicuzi1y4: Cayuga ISD Police Department,cm76wpxay0014vrvgicuzi1y4: /tx/henderson-county/trinidad/,"cm76wpxay0014vrvgicuzi1y4: 17750 N US Highway 287, Tennessee Colony, TX, 75861-3332",https://www.tshaonline.org/handbook/entries/tennessee-colony-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4873652: Henderson [48213],cm76wpxay0014vrvgicuzi1y4,"cm76wpxay0014vrvgicuzi1y4: /tx/, /tx/anderson-county/"
7,czrvjmpgqjzd89lpb01weszr,/tx/angelina-county/pollok/,place,missing-place,no,,,Pollok is an Angelina County community. Central ISD currently resolves to Hudson; that assignment does not establish equivalence.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxaz003fvrvg17anj5p7: Central Independent School District,cm76wpxaz003fvrvg17anj5p7: /tx/angelina-county/hudson/,"cm76wpxaz003fvrvg17anj5p7: 7622 US Hwy 69 N, Pollok, TX, 75969",https://www.tshaonline.org/handbook/entries/pollok-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4835228: Angelina [48005],cm76wpxaz003fvrvg17anj5p7,"cm76wpxaz003fvrvg17anj5p7: /tx/, /tx/angelina-county/"
8,c4rszx6dlr09rngtvq4fqosm,/tx/archer-county/archer/,place,expanded-name-candidate,no,/tx/archer-county/archer-city/,c7ne85g4lwe83ps4lxk7u1pb,Archer County Constable Pct. 3 now resolves to Archer City. Archer may be a truncated city name.,Confirm the legacy geographic identity and official name; then add an alias if they denote the same place.,cm76wpxaz004kvrvgl13cxmgt: Archer Co. Const. Pct. 3,cm76wpxaz004kvrvgl13cxmgt: /tx/archer-county/archer-city/,"cm76wpxaz004kvrvgl13cxmgt: 100 Law Enforcement Way, Archer, TX, 76351",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4803696: Archer [48009],,"cm76wpxaz004kvrvgl13cxmgt: /tx/, /tx/archer-county/, /tx/archer-county/archer-city/"
9,cygscanr4ccuwfzz7vqstn1u,/tx/austin-county/belleville/,place,alias-added,yes,/tx/austin-county/bellville/,ccycz4nkjweqwwz7714r9jwr,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxaz0063vrvgrr8j9m0t: 155TH Judicial Dist. CSCD,cm76wpxaz0063vrvgrr8j9m0t: /tx/austin-county/bellville/,"cm76wpxaz0063vrvgrr8j9m0t: 265 N. Chesley, Ste 6, Bellville, TX, 77418",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4807432: Austin [48015],cm76wpxaz0063vrvgrr8j9m0t,"cm76wpxaz0063vrvgrr8j9m0t: /tx/, /tx/austin-county/"
10,cyoetcck4uszov6w25j20qsy,/tx/austin-county/bleiblerville/,place,missing-place,no,,,"Bleiblerville is a distinct Austin County community near Industry, not a misspelling of Bellville. The constable currently resolves to Industry.","Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxaz006cvrvgnjbqazt8: Austin Co. Const. Pct. 2,cm76wpxaz006cvrvgnjbqazt8: /tx/austin-county/industry/,"cm76wpxaz006cvrvgnjbqazt8: P.O. Box 142, Bleiblerville, TX, 78931",https://www.tshaonline.org/handbook/entries/bleiblerville-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4835984: Austin [48015],cm76wpxaz006cvrvgnjbqazt8,"cm76wpxaz006cvrvgnjbqazt8: /tx/, /tx/austin-county/"
11,c9rpxq48do8r6bznlzzoxc9a,/tx/bandera-county/medina/,place,wrong-place-assignment,no,/tx/zapata-county/medina/,fbdnj6b9swid8265n7gl1mdh,"Medina in Bandera County is a distinct community, absent from canonical locations. Bandera County Constable Pct. 3 and Medina ISD Police currently point to Medina in Zapata County; that target is rejected.",Create the distinct Bandera County location from verified geographic evidence and correct the two agency assignments; do not alias to Zapata County.,cm76wpxaz007lvrvg6utatpx0: Bandera Co. Const. Pct. 3 | cm76wpxb0007tvrvgxic15mnx: Medina ISD Police Department,cm76wpxaz007lvrvg6utatpx0: /tx/zapata-county/medina/ | cm76wpxb0007tvrvgxic15mnx: /tx/zapata-county/medina/,"cm76wpxaz007lvrvg6utatpx0: P.O. Box 1557, Medina, TX, 78055 | cm76wpxb0007tvrvgxic15mnx: 1 Bobcat Lane, Medina, TX, 78055",https://www.tshaonline.org/handbook/entries/medina-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/zapata-county/medina/,yes,4847406: Zapata [48505],,"cm76wpxaz007lvrvg6utatpx0: /tx/, /tx/zapata-county/, /tx/zapata-county/medina/ | cm76wpxb0007tvrvgxic15mnx: /tx/, /tx/zapata-county/, /tx/zapata-county/medina/"
12,c3ppx2fq738m5j3u6ogoyg0x,/tx/bandera-county/utopia/,place,county-or-mailing-conflict,no,/tx/uvalde-county/utopia/,yxlzdc13z74iphqdgz6492td,The same-name place and the current Bandera County constable assignment are in Uvalde County; verify mailing address versus jurisdiction.,"Verify the original address and intended geographic entity before deciding whether to correct the hierarchy, agency assignment, or add a path alias.",cm76wpxb0007ovrvgsez3548d: Bandera Co. Const. Pct. 4,cm76wpxb0007ovrvgsez3548d: /tx/uvalde-county/utopia/,"cm76wpxb0007ovrvgsez3548d: P. O. Box 377, Utopia, TX, 78884",,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/uvalde-county/utopia/,yes,4874576: Uvalde [48463],,"cm76wpxb0007ovrvgsez3548d: /tx/, /tx/uvalde-county/, /tx/uvalde-county/utopia/"
13,c8fssjtfcduyi9lcqz94idzf,/tx/bee-county/beevillle/,place,alias-added,yes,/tx/bee-county/beeville/,cn85chxd3q39odayp6nmdx1b,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb0009dvrvgjyaio1jd: Bee Co. Const. Pct. 2,cm76wpxb0009dvrvgjyaio1jd: /tx/bee-county/beeville/,"cm76wpxb0009dvrvgjyaio1jd: 105 W. Corpus Christi St., Rm 109, Beevillle, TX, 78102",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4807192: Bee [48025],,"cm76wpxb0009dvrvgjyaio1jd: /tx/, /tx/bee-county/, /tx/bee-county/beeville/"
14,cpvrx26nnxsbvrb3oifksjod,/tx/bell-county/bartlett/,place,alias-already-present,yes,/tx/williamson-county/bartlett/,g2r2gqpp3qpmmubck31sj8su,Existing alias verified against raw Census place/county overlap: the same place spans multiple counties. The current canonical county and alias agree with the Census import policy.,Retain existing alias.,cm7a0bgor03z3ewvgezcl1zk9: Bartlett Police Dept.,cm7a0bgor03z3ewvgezcl1zk9: /tx/williamson-county/bartlett/,"cm7a0bgor03z3ewvgezcl1zk9: 202 N.dalton/po Box 670, Bartlett, TX, 76511",,Checked against saved 2025 Gazetteer and TIGER inputs,/tx/williamson-county/bartlett/,/tx/williamson-county/bartlett/,yes,"4805732: Williamson [48491], Bell [48027]",,"cm7a0bgor03z3ewvgezcl1zk9: /tx/, /tx/bell-county/, /tx/williamson-county/bartlett/"
15,cnjq89q3ynf12zvby7t5yup6,/tx/bell-county/little-river/,place,expanded-name-candidate,no,/tx/bell-county/little-river-academy/,etnke8w4dw93m5bqg4cml33e,The linked agency is Little River-Academy Police and resolves to Little River-Academy. Determine whether the old label meant the whole municipality.,Confirm the legacy geographic identity and official name; then add an alias if they denote the same place.,cm76wpxb000brvrvgr9hzfa7r: Little River-Academy Police Dept.,cm76wpxb000brvrvgr9hzfa7r: /tx/bell-county/little-river-academy/,"cm76wpxb000brvrvgr9hzfa7r: P. O. Box 521, 509 E. Main Street, Little River, TX, 76554",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4843066: Bell [48027],,"cm76wpxb000brvrvgr9hzfa7r: /tx/, /tx/bell-county/, /tx/bell-county/little-river-academy/"
16,cx4hczes03sr2w25mczdoycf,/tx/bell-county/moody/,place,county-or-mailing-conflict,no,/tx/mclennan-county/moody/,j7ynreilh1wv1vcl0s4w8r2t,"Moody Police resolves to Moody in McLennan County, not the old Bell County hierarchy.","Verify the original address and intended geographic entity before deciding whether to correct the hierarchy, agency assignment, or add a path alias.",cm7a0bgog01wmewvgc9m33p6k: Moody Police Department,cm7a0bgog01wmewvgc9m33p6k: /tx/mclennan-county/moody/,"cm7a0bgog01wmewvgc9m33p6k: Po Box 68, Moody, TX, 76557-0068",,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/mclennan-county/moody/,yes,4849200: McLennan [48309],,"cm7a0bgog01wmewvgc9m33p6k: /tx/, /tx/mclennan-county/, /tx/mclennan-county/moody/"
17,cmn3kx7ma1l18ncza1nm472c,/tx/bexar-county/atascosa/,place,missing-place,no,,,Atascosa is a community in Bexar County. The linked agency currently resolves to Macdona; that assignment is not proof of equivalence.,"Verify the community and its hierarchy from geographic evidence; if absent, create a separate manual location rather than an alias to a nearby place.",cm76wpxb000cwvrvgz5f4fhy0: Bexar Co. CSCD,cm76wpxb000cwvrvgz5f4fhy0: /tx/bexar-county/macdona/,"cm76wpxb000cwvrvgz5f4fhy0: 13500 Herring Rd, Atascosa, TX, 78002",https://www.tshaonline.org/handbook/entries/atascosa-tx,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4845576: Bexar [48029],cm76wpxb000cwvrvgz5f4fhy0,"cm76wpxb000cwvrvgz5f4fhy0: /tx/, /tx/bexar-county/"
18,c8u2n1rizq3jcw0ljy4cricw,/tx/bexar-county/boerne/,place,county-or-mailing-conflict,no,/tx/kendall-county/boerne/,cwfj9lo7p1g8vrdnce7ijwvi,"The old agency is Fair Oaks Ranch Police, currently assigned to Fair Oaks Ranch in Bexar County. A Boerne mailing city does not mean Fair Oaks Ranch and Boerne are interchangeable.","Verify the original address and intended geographic entity before deciding whether to correct the hierarchy, agency assignment, or add a path alias.",cm76wpxb100fgvrvgt4hr35ft: Fair Oaks Ranch Police Department,cm76wpxb100fgvrvgt4hr35ft: /tx/bexar-county/fair-oaks-ranch/,"cm76wpxb100fgvrvgt4hr35ft: 7286 Dietz Elkhorn Rd, Boerne, TX, 78015-4707",,Checked against saved 2025 Gazetteer and TIGER inputs,,/tx/kendall-county/boerne/,yes,"4809160: Kendall [48259] | 4825168: Bexar [48029], Kendall [48259], Comal [48091]",,"cm76wpxb100fgvrvgt4hr35ft: /tx/, /tx/bexar-county/, /tx/bexar-county/fair-oaks-ranch/"
19,cm393nfs9e1hlva7szykhlyc,/tx/bexar-county/saint-hedwig/,place,alias-added,yes,/tx/bexar-county/st-hedwig/,n2gnmdr6p7ds1a4ggv4f0oz8,"Spelling, spacing, punctuation, or abbreviation variant within the same state and county.",Applied through manual source; replay verified.,cm76wpxb100gfvrvg1cy6qusk: Saint Hedwig Marshal's Office,cm76wpxb100gfvrvg1cy6qusk: /tx/bexar-county/st-hedwig/,"cm76wpxb100gfvrvg1cy6qusk: 13065 FM 1346, P.O. Box 40, Saint Hedwig, TX, 78152",,Checked against saved 2025 Gazetteer and TIGER inputs,,,yes,4864172: Bexar [48029],,"cm76wpxb100gfvrvg1cy6qusk: /tx/, /tx/bexar-county/, /tx/bexar-county/st-hedwig/"
