audit_row,legacy_location_path_id,legacy_path,classification,finding,evidence_scope,same_place_alias_confirmed,next_action,source,existing_candidate_paths,saved_census_county_evidence
1,cmpohw2l199kqqzxgfb2yqii,/ct/new-haven-county/,Outdated or superseded geography,"New Haven County is a legitimate historical geography, superseded as a Census county equivalent by the planning-region system. Eight counties became nine regions; no one-to-one successor is established.",Confirmed within the evidence described,no,Preserve historical identity. A successor redirect requires an explicit decision because the target is not established as the same geographic extent.,https://www.census.gov/programs-surveys/acs/technical-documentation/user-notes/2023-01.html,,
3,cg2n9agrzz5m1gsbevg42rqf,/mn/jackson-county/alba-township/,Legitimate missing location,"Alba Township is a legitimate township in Jackson County. Census identifies it as county subdivision GEOID 2706300604. Our source reader handles states, counties and PLACE files, not COUSUB files. This is an import coverage gap for the site.",Existence and named county supported; current full boundary not established here,no,"Extend Census coverage to townships using county-subdivision data; preserve Alba Township as a site place, not an alias to Alpha.",https://data.census.gov/profile/Alba_township%2C_Jackson_County%2C_Minnesota?g=060XX00US2706300604,,
6,cebydviefa4lpellq0sns63h,/tx/anderson-county/tennessee-colony/,Legitimate missing location,Tennessee Colony is a separate Anderson County community; Trinidad is not its replacement.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/tennessee-colony-tx,,4873652: Henderson [48213]
7,czrvjmpgqjzd89lpb01weszr,/tx/angelina-county/pollok/,Legitimate missing location,Pollok is a separate Angelina County community; Hudson is not an equivalent.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/pollok-tx,,4835228: Angelina [48005]
10,cyoetcck4uszov6w25j20qsy,/tx/austin-county/bleiblerville/,Legitimate missing location,"Bleiblerville is a separate Austin County community, not Bellville or Industry.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/bleiblerville-tx,,4835984: Austin [48015]
11,c9rpxq48do8r6bznlzzoxc9a,/tx/bandera-county/medina/,Legitimate missing location,Medina in Bandera County is a separate community from the Census Medina CDP in Zapata County.,Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/medina-tx,/tx/zapata-county/medina/,4847406: Zapata [48505]
12,c3ppx2fq738m5j3u6ogoyg0x,/tx/bandera-county/utopia/,Incorrect hierarchy,"Utopia is in Uvalde County, not Bandera.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/uvalde-county/utopia/,4874576: Uvalde [48463]
15,cnjq89q3ynf12zvby7t5yup6,/tx/bell-county/little-river/,Outdated or superseded geography,"Little River and Academy merged around 1980. Little River is a predecessor/community name, while Little River-Academy is the combined municipality. A successor relationship is established; identical geographic scope is not.",Confirmed within the evidence described,no,Preserve historical identity. A successor redirect requires an explicit decision because the target is not established as the same geographic extent.,https://www.tshaonline.org/handbook/entries/little-river-academy-tx,/tx/bell-county/little-river-academy/,4843066: Bell [48027]
16,cx4hczes03sr2w25mczdoycf,/tx/bell-county/moody/,Incorrect hierarchy,"Moody is in McLennan County, not Bell.",Wrong hierarchy for the identified entity; full original intent may remain unknown,no,Correct the geographic hierarchy or source identity. No automatic alias under the instruction excluding incorrect hierarchies.,census-check-104.json; review-104.csv,/tx/mclennan-county/moody/,4849200: McLennan [48309]
17,cmn3kx7ma1l18ncza1nm472c,/tx/bexar-county/atascosa/,Legitimate missing location,"Atascosa is a Bexar County community, distinct from Macdona and from Atascosa County.",Existence and named county supported; current full boundary not established here,no,Preserve as its own place; obtain a supported boundary before address-point resolution. Do not alias to a nearby city.,https://www.tshaonline.org/handbook/entries/atascosa-tx,,4845576: Bexar [48029]
